age,gender,marital_status,dependents,education,employment_status,years_employed,self_employed,residence_type,housing_status,city,state,country,monthly_income,annual_income,existing_emi,savings,bank_balance,loan_amount,loan_purpose,loan_term,interest_rate,collateral_available,coapplicant_income,credit_score,past_loan_defaults,credit_card_holder,num_open_accounts,current_debt,debt_to_income_ratio,cibil_score,vehicle_ownership,property_ownership,business_ownership,existing_loans,pan_verified,aadhaar_verified,income_tax_filed,bank_statement_available,salary_slips_available,loan_approved
26,Male,Married,2,Postgraduate,Employed,8,0,Rented,Owned,Chennai,Tamil Nadu,India,29727,710240,6821,249182,380692,485587,Home,48,13.037646699658564,1,5156,842,0,0,1,188317,0.32645650771663615,693,0,1,0,2,0,0,0,0,1,0
59,Female,Married,2,Postgraduate,Employed,0,0,Rented,Owned,Hyderabad,Maharashtra,India,71310,732241,23709,289117,180326,618203,Business,12,8.691861477718495,0,31147,613,1,1,10,152111,0.48725637456100956,655,1,1,0,0,1,0,1,0,0,0
53,Female,Single,3,Graduate,Employed,13,0,Owned,Rented,Hyderabad,Tamil Nadu,India,46438,1169191,9093,449769,95723,522213,Business,12,13.919536341423221,1,23790,900,0,1,8,303739,0.6120258922288134,687,0,0,0,3,0,0,0,1,0,0
43,Male,Single,3,High School,Employed,9,1,Owned,Mortgaged,Delhi,Maharashtra,India,33612,1750048,10701,298949,256397,706344,Business,24,15.467683796527295,0,14109,616,0,1,5,379487,0.6464526084885452,853,0,0,0,0,0,0,0,0,0,0
42,Male,Married,0,Postgraduate,Unemployed,15,0,Owned,Owned,Bengaluru,Karnataka,India,70243,1145961,3767,5000,73886,385474,Home,24,13.315089589829196,1,9381,565,0,0,1,66576,0.20901195888093982,714,0,1,0,4,0,0,0,0,0,1
63,Male,Single,1,Graduate,Employed,12,0,Rented,Owned,Bengaluru,Tamil Nadu,India,57656,610402,14120,148782,249351,677574,Education,12,14.960650580946803,1,19369,900,0,0,6,0,0.25172546939700235,900,0,1,0,4,0,0,1,0,1,0
26,Other,Married,1,High School,Employed,15,1,Owned,Rented,Hyderabad,Maharashtra,India,83440,968934,12561,279883,233799,477043,Vehicle,48,14.689718165064509,1,22925,865,1,0,10,234067,0.6208857600975319,657,0,1,0,2,0,0,0,0,0,0
55,Male,Married,2,Graduate,Employed,9,0,Owned,Mortgaged,Mumbai,Tamil Nadu,India,37112,981998,12604,452342,155377,561679,Home,36,14.959692122379717,1,0,699,0,0,10,281685,0.18127866094186001,743,1,0,0,1,0,0,0,0,0,0
31,Female,Married,1,Graduate,Employed,0,0,Owned,Owned,Bengaluru,Delhi,India,48339,502451,9289,483612,253555,538798,Vehicle,24,11.080753020192061,0,19508,761,0,0,2,365912,0.4487121672471934,672,0,0,0,1,0,0,0,0,0,0
26,Female,Single,3,Postgraduate,Employed,2,0,Owned,Owned,Delhi,Tamil Nadu,India,12471,401760,14205,569443,10000,722960,Home,24,12.056226453315109,1,22830,764,0,0,9,250099,0.4821945080741691,900,0,0,0,2,0,0,0,0,1,0
47,Female,Married,1,High School,Employed,9,0,Owned,Owned,Delhi,Karnataka,India,16944,761015,15630,273510,201185,608710,Medical,60,14.860251287722987,0,0,735,0,0,1,312599,0.3375481829879309,739,0,0,0,2,0,0,0,0,0,0
68,Male,Married,2,Graduate,Employed,7,0,Owned,Rented,Chennai,Maharashtra,India,104560,1022312,9698,387395,119840,352551,Vehicle,60,15.327989311985913,0,17354,577,0,0,5,337705,0.6574353498888169,900,0,1,0,0,0,0,0,0,1,0
